                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8095,                 1.9976,                 1.6734,                0.38696,                0.24799,                0.25977,                0.08873,                 2.6347,                 1.7197,                  1.574,             0.00066637,             0.00066637,             0.00066637
                      2,                 2.7579,                 1.9493,                 1.6483,                0.39864,                0.26316,                0.28094,                0.10137,                 2.6153,                 1.7006,                 1.5786,              0.0013198,              0.0013198,              0.0013198
                      3,                   2.78,                 2.0573,                 1.6331,                0.39148,                0.21824,                0.24634,                0.08833,                 2.6633,                 1.7232,                 1.6068,              0.0019601,              0.0019601,              0.0019601
                      4,                  2.701,                 1.7969,                 1.6202,                0.46096,                0.26793,                0.30423,                0.10795,                 2.5892,                 1.5971,                 1.5582,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.6918,                 1.7542,                 1.5951,                0.43402,                0.28083,                0.31554,                0.11526,                 2.5328,                 1.6154,                 1.5259,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.6229,                  1.681,                 1.5664,                0.45823,                0.26679,                0.30842,                 0.1083,                 2.5898,                 1.6154,                 1.5179,               0.001901,               0.001901,               0.001901
                      7,                 2.5948,                 1.6362,                 1.5619,                0.42944,                0.24715,                0.28327,                0.10228,                 2.6086,                 1.6039,                 1.5601,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.5678,                 1.6233,                 1.5508,                0.44937,                0.27683,                0.32032,                0.11761,                 2.4963,                 1.6014,                 1.5033,              0.0018614,              0.0018614,              0.0018614
                      9,                   2.57,                 1.6497,                  1.541,                0.52435,                0.28949,                0.34895,                0.12949,                 2.4715,                 1.4955,                 1.5033,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.555,                 1.6121,                 1.5289,                0.53799,                0.30364,                0.36674,                0.13416,                 2.4633,                 1.4945,                 1.4839,              0.0018218,              0.0018218,              0.0018218
